Код;Наименование;Цена;Таблица
А16.07.003;Восстановление зуба виниром;30000;Виниры, искусственные коронки
А16.07.004;Восстановление зуба коронкой металлокерамической;10500;Виниры, искусственные коронки
А16.07.004;Восстановление зуба коронкой металлокерамической консольной;10500;Виниры, искусственные коронки
А16.07.004;Восстановление зуба коронкой безметалловой фрезерованной;15000;Виниры, искусственные коронки
А16.07.004;Восстановление зуба коронкой безметалловой фрезерованной консольной;15000;Виниры, искусственные коронки
А16.07.004;Восстановление зуба коронкой безметалловой из прессованной керамики Emax;30000;Виниры, искусственные коронки
А16.07.004;Восстановление зуба коронкой безметалловой фрезерованной с нанесением керамики;35000;Виниры, искусственные коронки
А16.07.004;Восстановление зуба коронкой безметалловой фрезерованной с нанесением керамики консольной;35000;Виниры, искусственные коронки
А16.07.004;"Восстановление зуба коронкой провизорной полимерной консольной (прямым способом, в тч оттиски, фиксация";3500;Виниры, искусственные коронки
А16.07.004;"Восстановление зуба коронкой провизорной полимерной (прямым способом), в тч оттиски, фиксация";3500;Виниры, искусственные коронки
А16.07.004;"Восстановление зуба коронкой провизорной полимерной (лабораторным способом), в тч оттиски, фиксация";5500;Виниры, искусственные коронки
А16.07.004;"Восстановление зуба коронкой провизорной полимерной консольной (лабораторным способом), в тч оттиски, фиксация";5500;Виниры, искусственные коронки
А16.07.006;Протезирование зуба с использованием имплантата коронкой безметалловой фрезерованной;30000;Протезирование имплантатов коронками
А16.07.006;Протезирование зуба с использованием имплантата коронкой металлокерамической;30000;Протезирование имплантатов коронками
А16.07.006;Протезирование зуба с использованием имплантата коронкой  Emax;42000;Протезирование имплантатов коронками
А16.07.006;Протезирование зуба с использованием имплантата коронкой  безметалловой фрезерованной с нанесением керамики;47000;Протезирование имплантатов коронками
А16.07.006;Протезирование зуба с использованием имплантата коронкой провизорной полимерной  на временном абатменте (прямым способом);8000;Протезирование имплантатов коронками
А16.07.006;Протезирование зуба с использованием имплантата коронкой провизорной полимерной  на временном абатменте (лабораторным способом);10000;Протезирование имплантатов коронками
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом: восстановление опорного зуба  коронкой безметалловой фрезерованной;15000;Мостовидные протезы
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом: восстановление промежуточного зуба  коронкой безметалловой фрезерованной;15000;Мостовидные протезы
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом: восстановление опорного зуба  коронкой металлокерамической;10500;Мостовидные протезы
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом: восстановление промежуточного зуба  коронкой металлокерамической;10500;Мостовидные протезы
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом: восстановление опорного зуба  коронкой безметалловой фрезерованной с нанесением керамики;35000;Мостовидные протезы
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом: восстановление промежуточного зуба  коронкой безметалловой фрезерованной с нанесением керамики;35000;Мостовидные протезы
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом (провизорным): восстановление опорного зуба  коронкой провизорной полимерной (прямым способом);3500;Мостовидные протезы
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом (провизорным):  восстановление промежуточного зуба  коронкой провизорной полимерной (прямым способом);3500;Мостовидные протезы
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом (провизорным): восстановление опорного зуба  коронкой провизорной полимерной (лабораторным способом);5500;Мостовидные протезы
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом (провизорным):  восстановление промежуточного зуба  коронкой провизорной полимерной (лабораторным способом);5500;Мостовидные протезы
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом с опорой на имплантаты: восстановление опорного имплантата коронкой безметалловой фрезерованной;30000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом с опорой на имплантаты: восстановление опорного имплантата коронкой безметалловой фрезерованной с использованием мультиюнита;45000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом с опорой на имплантаты: восстановление промежуточного зуба  коронкой безметалловой фрезерованной;30000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом с опорой на имплантаты: восстановление опорного имплантата  коронкой металлокерамической;30000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом с опорой на имплантаты: восстановление опорного имплантата  коронкой металлокерамической с использованием мультиюнита;45000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом с опорой на имплантаты: восстановление промежуточного зуба  коронкой металлокерамической;30000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом с опорой на имплантаты: восстановление опорного имплантата  коронкой безметалловой фрезерованной с нанесением керамики;47000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом с опорой на имплантаты: восстановление промежуточного зуба  коронкой безметалловой фрезерованной с нанесением керамики;47000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом (провизорным) с опорой на имплантаты: восстановление опорного имплантата коронкой провизорной полимерной (прямым способом);8000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом (провизорным) с опорой на имплантаты:  восстановление промежуточного зуба  коронкой провизорной полимерной (прямым способом);8000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом (провизорным) с опорой на имплантаты: восстановление опорного имплантата коронкой провизорной полимерной (лабораторным способом);10000;Мостовидные протезы на имплантатах
А16.07.005;Восстановление целостности зубного ряда несъемным мостовидным протезом (провизорным):  восстановление промежуточного зуба  коронкой провизорной полимерной (лабораторным способом);10000;Мостовидные протезы на имплантатах
